company_name,title,pay_text,hourly_wage_min,hourly_wage_max,employment_type,store_type
株式会社ヤスダワークス,「ストレスの少ない働き方で月収24万円可」医療器具の倉庫作業アルバイト,"時給1,320円 / 交通費支給",1320,1320.0,アルバイト・パート,チェーン店
株式会社平城苑,人気焼肉店のホールスタッフ／お子さんが学校の間だけも大歓迎 「週1日・3時間～」働ける,"時給1,280円～1,330円",1280,1330.0,アルバイト・パート,チェーン店
HAVANA CAFE,ダイニングバーのランチ,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,不明
合同会社ジェニトリコ,"有名人も通う名店／新福菜館の調理・ホールスタッフ!1,300～1,500円+利益還元金あり!","時給1,300円～1,500円 / 交通費支給",1300,1500.0,アルバイト・パート,チェーン店
いきいきらいふケアサービス,直行直帰OKの訪問介護の登録ヘルパー／高時給／40代50代の女性歓迎／自転車15分圏内のみ,"時給1,681円～2,057円 / 交通費支給",1681,2057.0,アルバイト・パート,不明
NI-YON LOUNGE,バーテンダー,"時給1,700円～2,200円",1700,2200.0,アルバイト・パート,不明
Jewelna Rose 新宿サブナード店,Jewelna Rose／未経験OKのバッグ販売スタッフ／髪色・ネイル自由／新宿サブナード店,"時給1,250円～ / 交通費支給",1250,1250.0,アルバイト・パート,不明
串焼げん 大山北口店,串焼居酒屋 ホールスタッフ,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,個人店（推定）
Girl's bar flower,ゆるくカウンター接客／女の子,"時給2,500円～ / 交通費支給",2500,2500.0,アルバイト・パート,不明
株式会社フタバ商事,和食店で調理補助／調理経験がある方／40・50・60代活躍中／賄い・社割あり,"時給1,400円～1,500円",1400,1500.0,アルバイト・パート,チェーン店
クリーニング アニカ ヤオコー八王子並木町店,クリーニング店舗受付スタッフ／クリーニング アニカ 店舗キャスト,"時給1,270円～1,320円 / 交通費支給",1270,1320.0,アルバイト・パート,不明
株式会社トリアイナ,一般事務スタッフ,"時給1,800円～ / 交通費支給",1800,1800.0,アルバイト・パート,チェーン店
Italian Dining & Bar CON...,シフト自由／イタリアン&カフェバルのキッチン補助スタッフ,"時給1,300円～2,000円 / 交通費支給",1300,2000.0,アルバイト・パート,不明
株式会社Gravis,子供向けダンスインストラクター・補助,"時給1,500円～6,000円 / 交通費支給",1500,6000.0,アルバイト・パート,チェーン店
立食い寿司 根室花まる グランデュオ蒲田店,和食ホール・サービススタッフ／蒲田店,"時給1,450円～1,863円 / 交通費支給",1450,1863.0,アルバイト・パート,不明
スナック full ON,カジュアルスナックBARのバーテンダー ホール キッチン 洗い場,"時給1,600円～",1600,,アルバイト・パート,不明
Can I Dressy 日暮里店,ネイリスト,"時給1,226円～",1226,,アルバイト・パート,不明
ワンカルビ 立川日野橋店,焼肉店の仕込み・食材準備スタッフ,"時給1,230円 / 交通費支給",1230,1230.0,アルバイト・パート,不明
株式会社Ahinata,上野駅チカ／髪色自由&週2日~／串カツ酒場ホールスタッフ,"時給1,300円～1,750円 / 交通費支給",1300,1750.0,アルバイト・パート,チェーン店
町田商店 マックス,ラーメン店のアルバイトスタッフ,"時給1,230円～ / 交通費支給",1230,1230.0,アルバイト・パート,個人店（推定）
たまや GEMS,焼鳥Diningのキッチンスタッフ,"時給1,250円～ / 交通費支給",1250,1250.0,アルバイト・パート,個人店（推定）
株式会社ランド環境,廃棄物回収の3tパッカー車ドライバー,"時給1,600円～ / 交通費支給",1600,1600.0,アルバイト・パート,チェーン店
クリーニング アニカ ヤオコー八王子並木町店,クリーニング店舗受付スタッフ／クリーニング アニカ 店舗キャスト,"時給1,270円～1,320円 / 交通費支給",1270,1320.0,アルバイト・パート,不明
株式会社福和,通信機器の搬入・設置などの軽作業スタッフ／効率よく超稼げる!未経験OK／週払い可／週1～シフト自由,"時給1,250円～1,875円",1250,1875.0,アルバイト・パート,チェーン店
環境クリエイト株式会社,スーパーマーケット内の日常清掃員,"時給1,400円 / 交通費支給",1400,1400.0,アルバイト・パート,チェーン店
株式会社フォーワード 立野かがやき保育園,保育園での調理士業務全般／調理士／プライベート充実,"時給1,300円～",1300,,アルバイト・パート,チェーン店
株式会社ランド環境,廃棄物回収の3tパッカー車ドライバー,"時給1,600円～ / 交通費支給",1600,1600.0,アルバイト・パート,チェーン店
学校法人幌北学園 下北沢そらいろ保育園,保育園での調理員業務／資格なしOK／ワークライフバランス充実,"時給1,300円～",1300,,アルバイト・パート,不明
株式会社リースキン西東京,徒歩5分 クリーンスタッフ募集 女性スタッフ活躍中,"時給1,226円～1,250円 / 交通費支給",1226,1250.0,アルバイト・パート,チェーン店
カイロスセキュリティー,2号警備指導教育責任者,"時給1,500円～1,625円 / 交通費支給",1500,1625.0,アルバイト・パート,不明
芝浦市場 焼肉ホルモン匠,焼肉屋さんのホールスタッフ,"時給1,300円～1,500円",1300,1500.0,アルバイト・パート,不明
BTD STUDIO株式会社,経理・総務 事務スタッフ,"時給1,400円 / 交通費支給",1400,1400.0,アルバイト・パート,チェーン店
株式会社加藤商事,ごみの受け入れ対応・仕分け作業,"時給1,400円～ / 交通費支給",1400,1400.0,アルバイト・パート,チェーン店
ソフトバンクイオン日の出,"未経験でも時給1,600円スタート／受付スタッフ","時給1,600円～ / 交通費支給",1600,1600.0,アルバイト・パート,不明
Ron Herman Cafe 二子玉川店,ホールスタッフ,"時給1,250円～ / 交通費支給",1250,1250.0,アルバイト・パート,不明
銀のさら・釜寅・すし上等 武蔵野店,フードデリバリースタッフ,"時給1,250円～ / 交通費支給",1250,1250.0,アルバイト・パート,不明
株式会社アリストワン,バー カウンターレディー,"時給1,500円～1,800円 / 交通費支給",1500,1800.0,アルバイト・パート,チェーン店
BAR 蘭,カウンター接客,"時給2,500円～3,500円",2500,3500.0,アルバイト・パート,個人店（推定）
ニュー酒場 もつ焼大行進 大井町総本店,オシャレ自由／トレンド大衆バルのホールスタッフ,"時給1,250円～1,625円 / 交通費支給",1250,1625.0,アルバイト・パート,不明
Italian & Cafe CONA -コナ-...,お洒落自由な夜カフェバルの店舗スタッフ,"時給1,250円～1,625円 / 交通費支給",1250,1625.0,アルバイト・パート,不明
ウィズ クラフト ビアアンドフード 御茶ノ水・淡...,カフェレストランのキッチンスタッフ／御茶ノ水駅すぐ,"時給1,300円～",1300,,アルバイト・パート,不明
ベレール株式会社,ウェディングフォトスタジオの事務スタッフ,"時給1,300円～1,500円",1300,1500.0,アルバイト・パート,チェーン店
食堂みかん,飲食店のホールスタッフ／居酒屋オープニング／1500〜駅近,"時給1,500円～ / 交通費支給",1500,1500.0,アルバイト・パート,個人店（推定）
アンコールワット,ママのお手伝い ゆる~いママと一緒に働いてみませんか,"時給2,800円～",2800,,アルバイト・パート,個人店（推定）
イラスト・マンガ教室egaco,イラストレーター・漫画家／講 師,"時給1,300円～1,800円 / 交通費支給",1300,1800.0,アルバイト・パート,不明
クリーニング アニカ ヤオコー東大和店,クリーニング店舗受付スタッフ／クリーニング アニカ 店舗キャスト,"時給1,270円～1,320円 / 交通費支給",1270,1320.0,アルバイト・パート,不明
株式会社加藤商事,ごみの受け入れ対応・仕分け作業,"時給1,400円～ / 交通費支給",1400,1400.0,アルバイト・パート,チェーン店
ウィズ クラフト ビアアンドフード 御茶ノ水・淡...,カフェレストランのキッチンスタッフ／御茶ノ水駅すぐ,"時給1,300円～",1300,,アルバイト・パート,不明
浅草にゃんにゃんベイビー,抹茶専門店での調理・接客など,"時給1,500円～ / 交通費支給",1500,1500.0,アルバイト・パート,不明
株式会社なの花東日本 なの花薬局 千歳台店,調剤薬局事務スタッフ,"時給1,230円～ / 交通費支給",1230,1230.0,アルバイト・パート,チェーン店
ベレール株式会社,ウェディングフォトスタジオの事務スタッフ,"時給1,300円～1,500円",1300,1500.0,アルバイト・パート,チェーン店
株式会社TAKUMI,そば居酒屋のホールスタッフ／オープニング募集 週3日・1日3h～OK／ネイル・髪自由,"時給1,500円～1,800円 / 交通費支給",1500,1800.0,アルバイト・パート,チェーン店
食堂みかん,飲食店のホールスタッフ／居酒屋オープニング／1400〜駅近,"時給1,400円～ / 交通費支給",1400,1400.0,アルバイト・パート,個人店（推定）
にしだ場 小平店,やきとり居酒屋のホールスタッフ!駅チカ,"時給1,230円～1,538円 / 交通費支給",1230,1538.0,アルバイト・パート,個人店（推定）
藤海ビルサービス株式会社,2棟2階建て舞台稽古用スタジオ内での日常清掃スタッフ／1日3h勤務／週3～4日／年齢不問／未経験歓迎,"時給1,450円 / 交通費支給",1450,1450.0,アルバイト・パート,チェーン店
株式会社リンクス,午前中メインの短時間 包丁を使わない宅配弁当の盛付スタッフ／未経験歓迎 平日勤務大歓迎!,"時給1,250円～ / 交通費支給",1250,1250.0,アルバイト・パート,チェーン店
株式会社AZUMA,セレモニースタッフ,"時給1,300円～1,700円 / 交通費支給",1300,1700.0,アルバイト・パート,チェーン店
医療法人社団スリープヘルスリサーチ,正看護師／准看護師,"時給2,100円 / 交通費支給",2100,2100.0,アルバイト・パート,不明
株式会社CHAKAS,お弁当の調理、製造,"時給1,226円～ / 交通費支給",1226,1226.0,アルバイト・パート,チェーン店
株式会社グレフ,閉店後のスーパーでの商品補充・陳列,"時給1,226円～1,533円",1226,1533.0,アルバイト・パート,チェーン店
Girl's Club FLORA,エスコート,"時給2,000円～",2000,,アルバイト・パート,不明
美人茶屋 新橋,富裕層向けバースタッフ／26,"時給1,700円 / 交通費支給",1700,1700.0,アルバイト・パート,個人店（推定）
Bar Mix Nuts,ミックスバーのホール・バーテンダー,"時給1,500円～3,500円",1500,3500.0,アルバイト・パート,不明
ゲイザらス,LGBTQ／ミックスバー・カウンタースタッフ,"時給2,000円～3,000円",2000,3000.0,アルバイト・パート,個人店（推定）
ラメゾン白金グラン 日本橋三越店,洋菓子の販売スタッフ,"時給1,300円～",1300,,アルバイト・パート,不明
渋谷神山町診療所,心療内科クリニックの受付事務,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,個人店（推定）
株式会社ちゃんばら,焼鳥屋の仕込みスタッフ,"時給1,250円～",1250,,アルバイト・パート,チェーン店
株式会社ジャパン・リリーフ,人工透析患者の患者送迎／普通1種免許／未経験OK,"時給1,400円 / 交通費支給",1400,1400.0,アルバイト・パート,チェーン店
株式会社ユマニテ,ショールームの清掃スタッフ,"時給1,300円～1,500円 / 交通費支給",1300,1500.0,アルバイト・パート,チェーン店
株式会社ジャパンスポーツ,スポーツクラブスタッフ／20・30代活躍中／フリーター歓迎／未経験OK／正社員登用有,"時給1,250円～ / 交通費支給",1250,1250.0,アルバイト・パート,チェーン店
BIJOUPIKO GROUP,BURGER KINGのアルバイト・パートスタッフ,"時給1,350円 / 交通費支給",1350,1350.0,アルバイト・パート,不明
株式会社ジャパン・リリーフ関東,キッズスクール代務送迎ドライバー／世田谷区、太田区、品川区,"時給1,666円 / 交通費支給",1666,1666.0,アルバイト・パート,チェーン店
株式会社花徳,入力作業がメインの一般事務,"時給1,250円～",1250,,アルバイト・パート,チェーン店
日本総合住生活株式会社,清掃スタッフ,"時給1,240円～ / 交通費支給",1240,1240.0,アルバイト・パート,チェーン店
株式会社スエヒロ,ホールサービス,"時給1,300円",1300,1300.0,アルバイト・パート,チェーン店
ローソン新河北総合病院店／株式会社アインファーマ...,病院コンビニ内での入院セット受付スタッフ ローソン新河北総合病院店,"時給1,363円～ / 交通費支給",1363,1363.0,アルバイト・パート,チェーン店
豚山 幡ヶ谷店,仕込み・フロアスタッフ,"時給1,750円～ / 交通費支給",1750,1750.0,アルバイト・パート,個人店（推定）
銀座スエヒロカフェテリアサービス株式会社,洗浄スタッフ,"時給1,226円 / 交通費支給",1226,1226.0,アルバイト・パート,チェーン店
株式会社レンタルライフ,レンタカーの回送業務や事務・清掃作業／平日のみ・土日のみの相談OK!残業なし&社員並み充実待遇,"時給1,400円～",1400,,アルバイト・パート,チェーン店
合同会社anytee,週2、1日4時間〜OK 池袋徒歩1分!稼ぎたい方も大歓迎!土日ボーナス5000円,"時給1,250円～1,600円 / 交通費支給",1250,1600.0,アルバイト・パート,チェーン店
BAR WAVY,飲食店スタッフ,"時給1,300円～2,000円",1300,2000.0,アルバイト・パート,個人店（推定）
乾杯 食堂,韓国料理のホールスタッフ,"時給1,226円～1,500円 / 交通費支給",1226,1500.0,アルバイト・パート,個人店（推定）
株式会社ちゃんばら,焼鳥屋の仕込みスタッフ,"時給1,250円～",1250,,アルバイト・パート,チェーン店
株式会社ONKURIライフデリ東京本店,朝勤の食品デリバリースタッフ／パートアルバイトONK03,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,チェーン店
株式会社アール・アソシエイツ,簡単な清掃等代行スタッフ,"時給1,400円～ / 交通費支給",1400,1400.0,アルバイト・パート,チェーン店
